label,mae,mean_counts,mape
Dendermonde - Martelarenlaan (West),1.9459309050190827,754.2,0.3
Dendermonde - Martelarenlaan (West),1.9459309050190827,,
Beersel - Alsembergsteenweg (West),10.338719549630543,59.9,17.3
Beersel - Alsembergsteenweg (West),10.338719549630543,,
Sint-Pieters-Leeuw - Alsembergsesteenweg (Noord),10.33932584243392,46.4,22.3
Sint-Pieters-Leeuw - Alsembergsesteenweg (Noord),10.33932584243392,,
Deinze - Steenweg Deinze (Zuid),10.712148278482745,60.0,17.9
Deinze - Steenweg Deinze (Zuid),10.712148278482745,,
Beersel - Alsembergsteenweg (Oost),14.891049649760895,,
Beersel - Alsembergsteenweg (Oost),14.891049649760895,67.9,21.9
Mechelen - Antwerpsesteenweg (West),16.238276830736545,121.7,13.3
Mechelen - Antwerpsesteenweg (West),16.238276830736545,,
Pepingen - Ninoofsesteenweg (Zuid),16.36204745962396,69.3,23.6
Pepingen - Ninoofsesteenweg (Zuid),16.36204745962396,,
Sint-Pieters-Leeuw - Alsembergsesteenweg (Zuid),17.68267204054236,47.7,37.1
Sint-Pieters-Leeuw - Alsembergsesteenweg (Zuid),17.68267204054236,,
Wemmel F213 Windberg (Noord),19.216727359607987,,
Wemmel F213 Windberg (Noord),19.216727359607987,95.9,20.0
Steenokkerzeel F214 Brucargo,19.24955008492076,,
Steenokkerzeel F214 Brucargo,19.24955008492076,96.8,19.9
Meulebeke - Bruggesteenweg (West),19.726273639099425,70.6,27.9
Meulebeke - Bruggesteenweg (West),19.726273639099425,,
Heers - Nieuwe Steenweg (West),20.268161329877362,63.0,32.1
Heers - Nieuwe Steenweg (West),20.268161329877362,,
Asse - Edingsesteenweg (Oost - kant Zetsel),22.03035475807048,,
Asse - Edingsesteenweg (Oost - kant Zetsel),22.03035475807048,95.8,23.0
Asse - Edingsesteenweg (West - kant Platijn),22.182929651934206,83.3,26.6
Asse - Edingsesteenweg (West - kant Platijn),22.182929651934206,,
Lummen - Thiewinkelstraat (Oost),22.339298266735202,81.1,27.6
Lummen - Thiewinkelstraat (Oost),22.339298266735202,,
Lummen - Thiewinkelstraat (West),23.050670899203904,,
Lummen - Thiewinkelstraat (West),23.050670899203904,78.9,29.2
Meulebeke - Bruggesteenweg (Oost),23.33143030969782,100.6,23.2
Meulebeke - Bruggesteenweg (Oost),23.33143030969782,,
Wemmel F213 Windberg (Zuid),23.747630952592218,,
Wemmel F213 Windberg (Zuid),23.747630952592218,97.1,24.5
Zele - Europalaan,24.376794460539877,,
Zele - Europalaan,24.376794460539877,116.3,21.0
Gooik - Bettestraat,24.48153662720951,70.0,35.0
Gooik - Bettestraat,24.48153662720951,,
Heers - Nieuwe Steenweg (Oost),24.53510921767553,67.7,36.3
Heers - Nieuwe Steenweg (Oost),24.53510921767553,,
Diepenbeek F72 Tunnel Havenlaan,25.11817520502441,,
Diepenbeek F72 Tunnel Havenlaan,25.11817520502441,81.0,31.0
Zaventem - Terminal Brussels Airport,25.15981036905984,,
Zaventem - Terminal Brussels Airport,25.15981036905984,164.4,15.3
Ardooie F37 Roeselaarsestraat (Oost),25.44977988539448,139.0,18.3
Ardooie F37 Roeselaarsestraat (Oost),25.44977988539448,,
Ardooie F37 Roeselaarsestraat (West),25.4644772175911,,
Ardooie F37 Roeselaarsestraat (West),25.4644772175911,127.1,20.0
Maasmechelen - Rijksweg (Oost),25.785711928966656,151.8,17.0
Maasmechelen - Rijksweg (Oost),25.785711928966656,,
Holsbeek - Kasteel van Horst,27.64496583149231,99.0,27.9
Holsbeek - Kasteel van Horst,27.64496583149231,,
Lille - Gierlebaan (Oost),28.245433782248796,,
Lille - Gierlebaan (Oost),28.245433782248796,124.7,22.7
Antwerpen Oprit/Afrit FR10,28.377101584238513,117.6,24.1
Antwerpen Oprit/Afrit FR10,28.377101584238513,,
Maasmechelen - Rijksweg (West),29.45669977836917,,
Maasmechelen - Rijksweg (West),29.45669977836917,156.5,18.8
Tongeren - Genoelsweg,31.985871857337035,,
Tongeren - Genoelsweg,31.985871857337035,124.0,25.8
Lille - Gierlebaan (West),32.40870774776661,130.0,24.9
Lille - Gierlebaan (West),32.40870774776661,,
Malle - Hoogstraatsebaan (Oost),32.864505373162714,,
Malle - Hoogstraatsebaan (Oost),32.864505373162714,172.3,19.1
Oosterzele F417 Roosbroekstraat,35.00183333333333,200.5,17.5
Oosterzele F417 Roosbroekstraat,35.00183333333333,,
Leuven F29 Koning Boudewijnlaan,35.03675257073427,171.7,20.4
Leuven F29 Koning Boudewijnlaan,35.03675257073427,,
Torhout F33 Oostendestraat (Noord),35.38743553343921,163.7,21.6
Torhout F33 Oostendestraat (Noord),35.38743553343921,,
Torhout F33 Oostendestraat (Zuid),36.76398123302795,,
Torhout F33 Oostendestraat (Zuid),36.76398123302795,196.0,18.8
Genk - Kielenswenbergweg,38.57520561314582,161.5,23.9
Genk - Kielenswenbergweg,38.57520561314582,,
Overijse F204 Vlierbeekberg,40.02995246736856,,
Overijse F204 Vlierbeekberg,40.02995246736856,137.3,29.2
Malle - Hoogstraatsebaan (West),40.15956457993808,,
Malle - Hoogstraatsebaan (West),40.15956457993808,178.3,22.5
Diest - Leuvensesteenweg (Noord),41.102649091195886,245.7,16.7
Diest - Leuvensesteenweg (Noord),41.102649091195886,,
Mal - Neremplein,42.37523694508734,56.5,75.1
Mal - Neremplein,42.37523694508734,,
Pepingen - Ninoofsesteenweg (Noord),45.117324449636065,190.8,23.6
Pepingen - Ninoofsesteenweg (Noord),45.117324449636065,,
Sint-Martens-Voeren - Ottegraeven,45.13825531141688,,
Sint-Martens-Voeren - Ottegraeven,45.13825531141688,51.6,87.5
Melle F417 Geraardbergsesteenweg/Kouterslag,45.35128173093197,284.2,16.0
Melle F417 Geraardbergsesteenweg/Kouterslag,45.35128173093197,,
Balen - Steenweg op Leopoldsburg (West),45.60781590799013,,
Balen - Steenweg op Leopoldsburg (West),45.60781590799013,171.7,26.6
Balen - Steenweg op Leopoldsburg (Oost),46.35180236964484,,
Balen - Steenweg op Leopoldsburg (Oost),46.35180236964484,157.4,29.5
Diest - Leuvensesteenweg (Zuid),46.71831221174146,,
Diest - Leuvensesteenweg (Zuid),46.71831221174146,305.6,15.3
Leuven - Naamsesteenweg (Oost),47.2488326192247,288.2,16.4
Leuven - Naamsesteenweg (Oost),47.2488326192247,,
Pelt - Hamonterweg (Noord),47.989855010620616,,
Pelt - Hamonterweg (Noord),47.989855010620616,221.4,21.7
Pelt - Hamonterweg (Zuid),48.27489615322813,,
Pelt - Hamonterweg (Zuid),48.27489615322813,250.1,19.3
Brecht - Wuustwezelsteenweg (Oost),49.40923799133949,187.5,26.3
Brecht - Wuustwezelsteenweg (Oost),49.40923799133949,,
Deinze - Steenweg Deinze (Noord),49.41630624345415,231.9,21.3
Deinze - Steenweg Deinze (Noord),49.41630624345415,,
